"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",7646,2
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1061,0
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",2040246,950
"Richard Holden","@RicHolden","Conservative","North West Durham",12457,2
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",14367,0
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",4086,3
"Richard Foord","@RichardFoordLD","Liberal Democrat","Tiverton and Honiton",12653,9
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",204753,0
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",2145,0
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",22514,-1
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",16527,6
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",198195,-17
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",8100,-1
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2224,0
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",193359,106
"Rachel Maclean","@redditchrachel","Conservative","Redditch",15203,2
